iter	Logloss
0	0.6569102218
1	0.6229813739
2	0.594523236
3	0.5672156481
4	0.5411588467
5	0.5157671983
6	0.4913855452
7	0.4703748129
8	0.4514676226
9	0.4328608009
10	0.4151202566
11	0.3978830973
12	0.3818571509
13	0.366892962
14	0.3544518075
15	0.3412797509
16	0.3296456686
17	0.3177428207
18	0.3063560114
19	0.2955760801
20	0.2858348939
21	0.2762782399
22	0.2666983876
23	0.2583954509
24	0.2508338835
25	0.2444293169
26	0.2375621951
27	0.2309563334
28	0.223878814
29	0.2176301072
30	0.2111821989
31	0.2050882355
32	0.1995989482
33	0.1944867886
34	0.1901394914
35	0.1856129034
36	0.18136316
37	0.1773490906
38	0.1732979286
39	0.1695998122
40	0.1662918959
41	0.1625569041
42	0.1599122955
43	0.1566728887
44	0.1535714467
45	0.150747904
46	0.1480751658
47	0.1451873159
48	0.1423551978
49	0.1395831069
50	0.137557146
51	0.1358307319
52	0.1333829833
53	0.1315894088
54	0.130234509
55	0.128044423
56	0.1264201063
57	0.1249201395
58	0.1231954311
59	0.1218745612
60	0.1203179088
61	0.1187348249
62	0.1172469612
63	0.1154331502
64	0.1143185065
65	0.1130089566
66	0.1117679704
67	0.1105551526
68	0.1092076185
69	0.1081676328
70	0.1070023126
71	0.1060253779
72	0.1049565959
73	0.1036888836
74	0.1026558915
75	0.101627629
76	0.1007720358
77	0.1000167102
78	0.09908528057
79	0.09832593871
80	0.09737236519
81	0.09655532992
82	0.09596298962
83	0.09559054491
84	0.09482872195
85	0.09415527282
86	0.09364339007
87	0.09282100491
88	0.0922212213
89	0.09185447538
90	0.09116701576
91	0.09086573221
92	0.09013856717
93	0.08951123556
94	0.08878856752
95	0.08811212555
96	0.08725015904
97	0.08671613244
98	0.08624045829
99	0.08561274676
100	0.08514751651
101	0.0846877447
102	0.08430596483
103	0.08390615045
104	0.08349085242
105	0.08289391432
106	0.08222700135
107	0.0818703194
108	0.08147157498
109	0.08080675544
110	0.08050378939
111	0.0802698368
112	0.08000794853
113	0.0797279637
114	0.07925466212
115	0.07904049633
116	0.07864782287
117	0.07832747359
118	0.07808035564
119	0.07781680813
120	0.07744290577
121	0.07699395777
122	0.07671041411
123	0.07617834913
124	0.07573023075
125	0.07549106784
126	0.07516890425
127	0.07491239687
128	0.07455952962
129	0.07436052958
130	0.0739933107
131	0.07363095322
132	0.07340202487
133	0.07302741694
134	0.07267088231
135	0.07246286501
136	0.07214294216
137	0.07198712109
138	0.07177680876
139	0.07157735902
140	0.07138567048
141	0.07113659091
142	0.07084190555
143	0.07066373903
144	0.07038953828
145	0.07011042959
146	0.06984181908
147	0.06957754275
148	0.06932516796
149	0.06916041491
150	0.06893604558
151	0.06869803018
152	0.06849929375
153	0.06829008242
154	0.06813567247
155	0.06798668218
156	0.06773756384
157	0.06752164577
158	0.0674031498
159	0.06722119184
